"Product ID","Product Name","Variant ID","Variant Option/Size","Selling Price (Current)","MRP (Original)"
"mehandi-powder-5-filters","Mehandi Powder (5 Filters)","mehandi-powder-5-filter-500gm","500 gm","220","250"
"mehandi-powder-5-filters","Mehandi Powder (5 Filters)","mehandi-powder-5-filters-1-kg","1 kg","380","500"
"mehandi-powder-bridal-special","Mehandi Powder (Bridal Special)","mehandi-powder-bridal-special-8211-500gm","500 gm","250","300"
"mehandi-powder-bridal-special","Mehandi Powder (Bridal Special)","mehandi-powder-bridal-special-8211-1-kg","1 kg","480","599"
"lion-special-mix-oil","Lion Special Mix Oil","lion-special-mix-oil-8211-200ml","200 ml","650","800"
"lion-special-mix-oil","Lion Special Mix Oil","lion-special-mix-oil-8211-500ml","500 ml","1100","1800"
"lion-special-mix-oil","Lion Special Mix Oil","lion-special-mix-oil-8211-1-ltr","1 Ltr","1900","2500"
"mehandi-mix-oil-yellow","Mehandi Mix Oil (Yellow)","mehandi-mix-oil-yellow-8211-200-ml","200 ml","400","499"
"mehandi-mix-oil-yellow","Mehandi Mix Oil (Yellow)","mehandi-mix-oil-yellow-8211-500-ml","500 ml","750","1199"
"mehandi-mix-oil-yellow","Mehandi Mix Oil (Yellow)","mehandi-mix-oil-yellow-8211-1-ltr","1 Ltr","1350","1599"
"mehandi-mix-oil-red","Mehandi Mix Oil (Red)","mehandi-mix-oil-red-8211-200-ml","200 ml","350","399"
"mehandi-mix-oil-red","Mehandi Mix Oil (Red)","mehandi-mix-oil-red-8211-500-ml","500 ml","650","999"
"mehandi-mix-oil-red","Mehandi Mix Oil (Red)","mehandi-mix-oil-red-1-ltr","1 Ltr","1250","1399"
"aftercare-balm","AfterCare Balm","aftercare-balm-1-piece","1 piece","60","70"
"aftercare-balm","AfterCare Balm","aftercare-balm-combo-qty-3","3 pieces","165","210"
"aftercare-oil","AfterCare Oil","aftercare-oil-1-piece","1 piece","60","70"
"aftercare-oil","AfterCare Oil","aftercare-oil-combo-qty-3","3 pieces","165","210"
"cone-rolling-pin","Cone Rolling Pin","cone-rolling-pin-bridal-special-10-pieces","Bridal Special - 10 pieces","70","100"
"cone-rolling-pin","Cone Rolling Pin","cone-rolling-pin-bridal-special-50-pieces","Bridal Special - 50 pieces","299","400"
"cone-rolling-pin","Cone Rolling Pin","cone-rolling-pin-bridal-special-100-pieces","Bridal Special - 100 pieces","599","700"
"cone-rolling-pin","Cone Rolling Pin","cone-rolling-pin-normal-tip-10-pieces","Normal Tip - 10 pieces","70","100"
"cone-rolling-pin","Cone Rolling Pin","cone-rolling-pin-normal-tip-50-pieces","Normal Tip - 50 pieces","299","400"
"cone-rolling-pin","Cone Rolling Pin","cone-rolling-pin-normal-tip-100-pieces","Normal Tip - 100 pieces","599","700"
"measurement-cup","Measurement Cup","measurement-cup-25ml","25 ml","20","50"
"measurement-cup","Measurement Cup","measurement-cup-50ml","50 ml","30","60"
"measurement-cup","Measurement Cup","measurement-cup-100ml","100 ml","40","70"
"mehandi-cushion-combo","Mehandi Cushion Combo","mehandi-cushion-premium-quality-qty-1","1 piece","399","550"
"mehandi-cushion-combo","Mehandi Cushion Combo","mehandi-cushion-combo-2-pieces","2 pieces","780","1100"
"mehandi-cushion-combo","Mehandi Cushion Combo","mehandi-cushion-combo-6-pieces","6 pieces","2310","3000"
"pipping-bag","Pipping Bag","pipping-bag-small","Small","100","150"
"pipping-bag","Pipping Bag","pipping-bag-medium","Medium","130","200"
"cellotap-machine","Cellotap Machine","cellotap-machine-small","Small","50",""
"cellotap-machine","Cellotap Machine","cellotap-machine-big","Big","180",""
"spatula","Spatula","spatula-small","Small","59","100"
"spatula","Spatula","spatula-big","Big","89","120"
"socks-pair","Socks (pair)","small-socks-pair","Small","20","40"
"socks-pair","Socks (pair)","medium-socks-pair","Medium","30","60"
"socks-pair","Socks (pair)","large-socks-pair","Large","60","100"
"cellotap-bundle","Cellotap Bundle","cellotap-bundle-small-8211-12-pieces","Small (12 pieces)","90","120"
"cellotap-bundle","Cellotap Bundle","cellotap-bundle-big-12-piece","Big (12 pieces)","180","200"
"big-folding-stool","Big folding stool","","","350","550"
"folding-table-medium","Folding Table (medium)","","","280","399"
"weighing-machine","weighing machine","","","250","550"
"cellophane-sheet-transparent","Cellophane Sheet (transparent)","","","220","280"
"cellophane-sheet-printed","Cellophane Sheet (Printed)","","","250","350"
"silver-paper-cellophane-sheet","Silver Paper (cellophane sheet)","","","300","500"
"cone-combo-12-cone","Cone Combo (12 Cone)","","","100","200"
"plastic-pin-100-gm","Plastic Pin(100 gm)","","","100","150"
"acrylic-hand-jumbo","Acrylic Hand (Jumbo)","","","350","400"
"acrylic-leg","Acrylic Leg","","","170","200"
"jumbo-cellotap","Jumbo Cellotap","","","75","120"
